id,effect_on_max,consumption,ratio
795,15.90625,4267.556250000002,0.0037272502266373153
1053,32.21799999999348,9630.999999999996,0.003345239331325251
1056,31.44000000000233,12794.03999999993,0.0024573942241858317
1047,13.71875,5677.25,0.002416442820027302
1033,1407.75,618777.0,0.0022750522401446724
1061,151.59999999997672,66782.55999999998,0.002270053738580503
788,6.818749999976717,3092.70000000003,0.002204788695953908
1034,376.0,171371.5,0.002194063773731338
623,174.0,82369.25,0.002112438804529603
1064,8.0,3822.560000000003,0.0020928383073123753
1046,27.04999999998836,13573.849999999891,0.0019928023368453738
1030,124.3125,62502.0,0.001988936354036671
1052,9.5,5027.21875,0.0018897128755338128
88,868.7199999999721,482127.12000000034,0.001801848441962716
572,104.79999999998836,58561.5999999997,0.0017895685910219135
794,6.9375,3931.281249999987,0.0017646918545957564
1029,27.380000000004657,15558.768800000007,0.0017597793470653439
1055,23.520000000018626,13574.519999999915,0.0017326579503377485
947,48.25,28132.5,0.0017150981960366125
20,647.5,379565.0,0.0017059001752005585
1065,16.20000000001164,9620.840000000018,0.0016838446538983717
1051,19.42499999998836,11594.47499999999,0.00167536693123133
949,289.0,177730.0,0.001626062004163619
8,1643.1199999999953,1017527.7599999992,0.0016148158945560331
677,495.35999999998603,309226.2400000001,0.0016019339109125598
627,240.2399999999907,150247.56000000006,0.0015989610746423475
585,16.631249999976717,10441.61250000001,0.001592785597049948
4,2249.0,1420451.0,0.00158329995191668
1024,34.66249999997672,21897.512500000073,0.0015829423547526963
1050,27.0,17180.356250000037,0.0015715622893442585
556,33.5,21417.424999999977,0.0015641469504387214
942,59.125,38199.84999999995,0.0015477809467838246
558,271.5,176112.0,0.001541632597437994
1059,11.575000000011642,7525.562500000005,0.001538091006487772
581,28.88750000001164,18995.64999999999,0.0015207429069293052
737,1583.0,1055278.0,0.0015000786522603522
1045,210.32000000000698,142060.63999999987,0.0014804945268443615
908,5.0625,3475.5750000000066,0.0014565935133035513
1066,2063.0,1418124.0,0.0014547387957611604
780,7.587500000023283,5399.556249999995,0.0014052080668709192
576,420.0,302105.75,0.001390241662067008
659,545.5,393590.5,0.0013859582484841478
948,19.95000000001164,14502.20000000001,0.0013756533491478277
1038,457.5,333546.0,0.001371624903311687
875,2377.0,1739584.0,0.0013664186380192046
1026,641.0,469248.5,0.0013660139563578786
555,55.54999999998836,40709.79999999997,0.0013645363032976925
671,2143.2000000000116,1570828.8000000026,0.0013643752902926202
22,3940.7999999999884,2914821.5999999996,0.0013519866876243777
1043,896.0,673197.0,0.0013309625562799596
21,2093.0,1584017.0,0.001321324202959943
1060,43.81679999997141,33221.07360000003,0.001318945935569384
766,276.5,210193.75,0.001315453004668312
1068,1575.0,1200038.0,0.0013124584388161042
1039,575.5,441431.5,0.0013037130336190327
19,3228.0,2477760.0,0.0013027896164277413
1049,74.84999999997672,57575.874999999935,0.0013000236644250182
584,104.5,80496.25000000007,0.0012981971209838955
618,122.25,94725.75,0.0012905677706431461
1041,1116.75,866120.25,0.001289370615685293
940,184.0,143230.0,0.0012846470711443134
11,2458.0,1923520.0,0.001277865579770421
579,43.29999999998836,34046.749999999956,0.0012717807132836
1042,961.0,759954.5,0.0012645493907858958
586,326.4000000000233,259545.59999999986,0.001257582482615862
754,131.25,104449.0,0.0012565941272774273
629,1030.0,826345.0,0.0012464527527848539
624,713.25,574314.75,0.0012419148210976647
953,99.75,81148.5,0.0012292278970036416
628,382.5,312703.0,0.0012232054057684128
1054,734.0,600288.0,0.0012227464150541074
1037,579.0,474717.0,0.0012196740373738458
938,193.20000000001164,158942.99999999988,0.001215530095694757
731,182.125,149936.3125,0.0012146824005692418
621,180.0,148668.0,0.0012107514730809589
678,1678.7999999999884,1387938.0000000002,0.0012095641159763535
562,619.2000000000116,513549.59999999934,0.0012057257955220147
941,59.5,49395.25,0.0012045692652633603
768,102.25,84911.0,0.0012042020468490536
522,356.25,297326.0,0.001198179775734379
18,1875.0,1568768.0,0.0011952054095953004
242,10361.65535039996,8684226.0,0.0011931581870854074
9,2256.0,1901872.0,0.0011861997021881598
1031,90.47999999998137,76311.51999999996,0.0011856663318982694
631,80.875,68216.75,0.001185559265136495
24,1880.4000000000233,1590493.2000000007,0.0011822747811810969
1067,265.5,224743.25,0.0011813480493852429
580,26.20000000001164,22262.03749999994,0.0011768913784289381
1036,700.75,601730.5,0.0011645578876257727
925,470.4799999999814,405775.4399999995,0.001159459034780375
1044,158.0,136770.25,0.0011552219872377216
729,77.9375,67467.625,0.001155183689954997
661,164.5,142497.75,0.0011544041923468968
51,409.11999999999534,354509.4400000002,0.0011540454324714038
701,721.5,625229.0,0.0011539771827602367
578,459.0,397875.5,0.0011536272024791675
915,380.5,330952.0,0.0011497135536271122
758,43.72499999997672,38218.61250000003,0.001144076070264892
17,424.0,371940.0,0.0011399688121740065
746,247.25,218819.5,0.0011299267204248251
887,184.0,162888.0,0.0011296105299346791
626,275.75,245377.0,0.0011237809574654511
744,174.25,155492.25,0.001120634629700194
33,467.35999999998603,420421.7599999997,0.0011116456008366132
560,174.11999999999534,157431.67999999996,0.0011060035692942829
760,84.0800000000163,76067.75999999994,0.0011053303002483098
764,480.5,435483.25,0.0011033719436970308
494,857.0999999999767,779132.3999999999,0.0011000697699132737
548,194.0,176652.25,0.0010982028250418549
699,422.4000000000233,384708.00000000006,0.0010979756074737806
660,686.5,625589.5,0.001097364965364668
1070,520.0,474618.75,0.0010956162182804618
14,528.5,484125.5,0.001091659084266373
1006,353.679999999993,325029.1999999999,0.001088148387898666
