timeFrom,4,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,31,32,33,34,47,50,51,52,53,57,58,100,106,107,115,117,241,242,311,312,330,331,332,410,412,449,450,451,452,453,454,455,456,457,467,468,469,470,491,492,493,494,495,504,506,508,510,511,512,513,514,515,517,518,519,520,521,522,523,540,546,548,551,553,555,556,558,560,562,564,566,567,568,570,572,574,576,578,579,580,581,584,585,586,592,613,614,615,616,617,618,620,621,622,623,624,626,627,628,1004,1006,1018,1020,1022,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1053,1054,1055,1056,1059,1060,1061,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1132,1134,1146,629,631,632,633,659,660,661,662,663,671,672,673,674,675,677,678,699,701,703,705,707,709,711,713,715,717,719,721,723,725,727,729,731,735,737,739,744,746,748,750,754,756,758,760,762,764,766,768,776,780,788,794,795,8,805,815,817,819,836,837,838,843,844,845,846,847,848,849,859,860,870,871,875,877,879,88,881,883,885,887,890,892,897,899,9,903,908,909,912,915,916,921,922,923,924,925,926,927,928,938,939,940,941,942,943,944,945,946,947,948,949,950,951,952,953,954,955,974,978,980,981,982,983,984,985,986,987,988,AP Main,Airport city TLV Central Station,Azrieli Sarona AC,CAOL,Clalit Kaplan MC,Clalit Meir MC,Energy Systems Jerusalem 1,HCN Main,total
1,1360.0,1798,97.0,91.25,575.5,239.25,378.5,458.0,1783.0,3048,241.0,1166.0,1972.8,3201.6,1897.2,2478.0,556.72,2083.36,572.16,750.5,560.1,4070,154.88,6048,12096,1341.5,211.0,4239.0,2402.0,2174.25,4706.0,3198.0,1.88,10587.0,16800,15904,1820.0,764.5,482.0,3764.0,3711.2,2019.0,2346.0,0.0,4188.0,1584.0,1004.4,1159.2,730.2,136.625,326.925,120.7875,99.25,86.625,1404.0,628.8,473.1,927.3,292.65,619.0,2456.0,1237.0,1365.5,152.8,1861.0,465.75,3432,549.0,818.4,204.25,434.5,568.75,200.0,356.25,97.75,138.0,257.5,211.0,835.8,368.5,55.45,38.325,249.0,191.32,588.6,808.75,39.9,92.875,3.0,193.0,118.4,60.5,399.75,486.5,44.725,28.4125,30.2875,109.4,16.1375,402.0,1335.2,339.5,1500,388.25,372.5,250.0,118.75,679.0,186.5,565.0,184.25,514.5,287.25,242.44,369.0,888.0,344.8,2377.92,2823.0,1424.0,39.6875,171.125,611.0,18.1125,45.425,28.2728,84.1875,99.84,118.375,1024.5,71.0,655.0,702.5,612.0,475.0,574.0,681.0,1047.25,326.5,867.5,164.0,176.72,28.825,14.21875,18.625,89.4125,32.28125,44.0875,13.6875,40.188,701.5,33.08,38.64,15.4875,66.1896,127.28,39.44,51.25,6.16,20.04,936.0,171.0,1573.0,481.75,528.5,1150.0,349.0,62.6712,130.25,1168.25,430.66,0.0,105.4375,59.1875,43.25,316.0,710.5,214.75,1176.0,3142.0,1155.6,291.6,2714,1799.0,56.05,491.76,892.8,477.6,745.5,893.0,472.0,218.1,55.9375,653.136,583.8,293.0,376.0,142.5,1256.5,363.0,730.5,1314.0,104.125,230.3125,156.6,533.0,116.4,182.25,261.0,475.5,1288.0,150.75,180.0,68.1375,109.28,566.5,531.5,274.75,137.75,15.91875,7.83125,7.0375,6.69375,5.4125,666.0,1405.2,378.8,399.0,20.1875,256.0,364.25,1558.0,720.0,276.6,442.0,572.5,342.0,842.75,455.0,115.2,785.12,808.8,1532.4,1454.0,709.28,229.5,234.08,571.5,177.0,638.0,198.0,108.25,1206.72,1055.75,452.75,2268.0,953.52,2.925,138.6875,220.625,378.5,1304.0,252.25,404.5,320.75,233.84,502.0,498.0,1557.92,298.5,163.8,2.92,185.75,95.0,69.05,526.5,7.9625,866.4,1841.0,61.1875,20.5,269.5,265.25,82.875,53.0,102.25,2731.0,1112.5,170.0,767.0,465.3,191.75,178.8,265.25,228.25,227.5,289.5,84.025,212.375,7508,1495.9997606,489.936,48384,3118.0,4142,2856.0,58.0,473346.9669326
2,1183.0,1898,95.0,88.5,567.5,240.5,376.0,508.0,1870.0,3066,336.0,1203.0,2036.4,3196.8,1908.0,2456.4,478.88,1784.16,406.96,757.0,571.8,3862,208.32,6272,12096,1372.0,203.0,4122.0,2559.0,2263.5,4555.0,3316.0,1.76,8163.0,17024,15904,1765.0,669.5,480.75,3880.0,3633.44,1966.0,2525.0,0.0,4220.4,1621.2,1052.4,1132.2,693.6,132.625,339.975,122.25,92.125,91.5,1499.4,581.4,506.4,865.2,282.0,620.0,1751.0,1305.0,1384.5,153.56,1872.5,393.0,3478,549.0,819.0,159.25,414.0,563.0,209.5,328.0,81.75,156.0,279.0,219.5,799.2,369.0,55.2,37.5,236.5,188.24,588.0,799.0,39.25,76.625,3.625,188.25,89.0,58.875,359.75,501.0,44.35,27.775,28.05,110.575,16.5,352.8,1328.96,362.5,1588,373.75,366.0,261.5,124.0,647.0,190.0,572.5,175.25,548.0,283.0,239.88,364.0,900.0,347.12,2381.76,2858.0,1287.0,40.35,175.125,636.0,16.9875,45.0,28.7544,84.25,104.84,130.125,1020.75,60.0,603.5,749.0,642.25,470.5,561.0,693.6,1053.75,314.5,782.5,155.0,203.84,30.6,14.75,17.325,104.05,30.975,32.0375,13.59375,31.628,703.0,25.52,51.36,13.475,66.8544,125.08,42.48,51.55,14.0,26.04,908.0,207.0,1571.0,475.0,553.75,1255.0,368.75,67.2384,133.5,1169.25,413.86,954.0,100.75,59.4375,40.5,321.5,669.0,194.0,1162.5,3096.0,1449.6,289.5,2708,1792.0,38.4,538.08,888.0,461.4,728.0,854.0,490.0,262.2,60.0625,672.816,618.6,326.0,329.5,137.0,1208.0,423.5,727.5,1273.0,94.0625,232.375,159.0,490.0,111.2,180.75,267.25,495.375,1100.0,149.5,188.5,49.875,109.76,552.5,494.25,259.0,139.75,11.8375,7.76875,7.05,6.70625,5.49375,649.92,1434.0,367.92,415.5,20.925,402.5,364.0,1754.5,703.5,258.3,428.5,567.0,330.6,863.5,498.0,120.32,767.68,853.2,1525.2,1510.0,710.4,222.25,285.76,564.5,178.25,701.0,230.0,107.75,1227.52,998.75,458.25,2213.0,1024.32,3.825,137.5625,139.3125,393.5,1362.0,267.0,428.0,330.5,257.96,496.88,527.0,1587.84,315.0,246.6,2.92,192.5,90.5,67.3,564.5,8.275,858.0,1900.0,74.875,24.6,331.0,280.5,89.25,54.25,96.0,2711.0,1118.5,163.0,762.5,475.2,182.0,148.8,231.5,245.5,222.03125,294.5,77.075,211.25,7566,1512.799758,527.856,49224,3054.0,4064,3037.2,68.0,468148.0357274
3,1135.0,1658,97.0,104.75,552.5,245.75,382.0,461.0,1851.0,3054,331.0,1154.0,1981.2,3189.6,1941.6,2455.2,452.24,1890.88,416.24,750.0,595.2,4002,242.56,6272,11872,1500.5,185.0,4180.5,2450.0,2136.0,4439.0,3423.0,2.76,10725.0,17248,16128,1844.0,719.0,475.5,3783.0,3762.4,2065.0,2464.0,0.0,4246.8,1531.2,956.4,1065.6,575.4,131.0625,317.3625,110.775,94.9375,91.5625,1443.6,574.8,452.4,850.2,294.3,620.0,1784.0,1118.0,1406.5,157.12,1870.5,420.75,3364,591.0,824.4,162.5,408.75,543.25,206.0,316.0,96.75,155.0,267.0,208.25,801.0,388.75,55.9,35.8,258.0,180.92,597.6,856.75,38.325,77.5,2.625,183.5,107.2,63.5625,409.5,466.0,44.35,28.2,32.125,108.6,15.65,405.0,1333.44,349.4,1552,359.5,366.75,247.25,118.0,641.0,198.75,555.5,179.0,555.5,259.5,237.76,380.5,926.4,366.96,2394.96,2804.0,1217.5,49.3875,173.625,645.0,30.375,45.45,20.808000000000003,101.75,84.72,117.625,1074.75,74.0,592.0,712.25,662.25,494.5,586.5,736.8,1040.5,324.5,857.0,165.25,213.28,34.775,14.15625,18.275,90.875,31.275,35.8,13.625,29.426,722.5,30.2,45.48,13.025,67.0344,131.4,34.8,56.35,13.76,25.48,890.0,201.75,1538.0,468.0,513.25,1252.0,362.5,65.7888,140.25,1130.0,389.88,994.0,104.0625,59.5625,41.5,312.0,702.0,190.25,1161.0,3064.0,1165.2,289.8,2674,1785.5,36.85,508.4,915.6,489.6,713.5,960.0,482.0,279.3,54.0,666.24,603.6,273.5,337.0,140.5,1203.5,409.0,729.0,1198.5,113.5,216.0,152.25,482.0,105.96,187.75,261.25,499.875,1180.0,143.0,195.25,56.3625,104.16,526.25,445.75,270.75,132.5,13.6875,5.70625,7.1,6.71875,5.5375,662.4,1344.0,359.52,407.0,21.1,386.5,364.5,1673.0,709.5,263.4,445.0,570.0,325.2,879.75,494.5,115.2,758.08,936.0,1470.0,1508.0,704.72,217.75,212.56,559.0,176.0,670.0,218.0,104.75,1198.4,1016.0,446.0,2280.0,1126.56,3.0,146.5,238.125,414.5,1350.0,279.0,428.25,344.75,256.24,509.52,521.5,1421.6,313.0,153.9,3.04,188.25,81.75,60.525,548.0,9.85,852.0,1829.0,67.5625,18.55,306.5,267.75,92.6625,58.5,90.5,2144.0,1091.0,150.0,745.0,463.2,185.0,252.3,215.5,246.0,237.1875,272.875,81.625,188.4375,8072,1508.7997586,525.744,49392,3114.0,4000,2728.8,60.0,481322.0383772
4,984.0,1786,68.0,58.75,472.0,179.5,209.0,276.0,1908.0,3072,243.0,1060.0,1574.4,2420.4,1364.4,2332.8,233.92,1369.12,217.68,876.5,417.9,3368,101.28,6048,12096,1009.0,157.0,4054.5,2344.0,1917.0,4267.0,3287.0,1.84,6009.0,16800,15680,1771.0,448.25,472.5,3180.0,3473.76,1718.0,1688.0,0.0,3164.4,1274.4,550.8,567.6,525.6,103.375,165.9375,87.525,79.1875,69.1875,1382.4,552.6,341.4,674.1,200.7,649.5,1641.0,968.0,1177.5,104.76,1531.0,305.5,2852,505.5,692.4,119.5,367.5,547.25,175.75,279.5,71.0,108.25,160.0,160.25,498.6,277.25,41.25,4.075,171.5,127.16,255.0,688.5,33.875,68.0,1.875,123.0,87.6,61.1875,281.5,332.0,40.1,24.3125,10.075,34.5,4.3875,372.6,1250.0,278.48,1198,284.75,237.0,200.5,73.5,613.0,150.75,473.0,56.5,492.75,239.75,237.96,235.0,536.4,218.0,2365.2,2217.0,862.0,40.9125,164.6875,372.0,13.5375,33.55,20.3448,69.5,108.8,94.875,801.0,142.0,600.75,700.25,437.75,487.0,519.0,680.4,1023.25,771.5,602.5,126.0,160.64,25.85,6.90625,11.9375,84.275,13.3625,31.8625,7.25,10.565999999999999,690.0,26.84,11.52,5.25,76.1664,51.68,39.64,44.325,5.76,24.96,827.0,224.5,1394.0,179.0,389.5,674.0,283.0,34.032,128.5,1117.25,375.74,961.0,42.125,49.25,39.0,236.5,667.0,181.75,875.0,2062.0,808.8,280.8,2564,1649.5,10.7,259.44,844.8,353.4,467.0,457.5,351.5,222.6,29.875,614.736,583.8,208.5,321.0,127.5,1114.0,306.0,687.0,837.0,9.875,24.125,89.7,391.0,95.8,164.0,202.5,447.75,716.0,75.5,185.25,105.2625,111.6,460.25,226.25,286.5,93.75,13.00625,6.8625,7.03125,6.5875,5.40625,619.36,679.2,196.88,374.5,16.525,314.0,360.75,1232.0,725.5,250.2,404.0,550.0,300.3,773.0,489.5,69.6,432.8,418.8,967.2,936.0,657.76,200.5,202.56,446.0,128.5,268.0,84.0,99.5,858.24,810.5,390.75,2200.0,916.08,1.875,125.625,138.8125,363.0,770.0,252.25,334.0,325.5,154.84,300.88,425.5,849.28,208.5,144.9,3.08,180.0,80.5,40.45,334.0,6.4,639.0,1531.0,12.25,9.075,209.5,264.75,80.4,46.0,69.25,1583.0,788.5,142.0,527.0,398.1,166.5,193.8,227.75,124.75,239.375,260.0,73.2,183.3125,8072,1487.199762,457.152,48384,2530.0,3464,1380.0,42.0,415075.1325242
5,403.0,1208,55.5,59.25,425.0,172.5,160.0,257.0,1626.0,2738,185.5,854.0,1232.4,752.4,492.0,1406.4,193.92,1273.44,178.24,650.5,403.8,2320,56.8,5824,11872,1253.0,101.0,4032.0,2296.0,1874.25,4367.0,2642.0,1.8,6084.0,16800,15904,1427.0,388.75,472.25,1859.0,3258.24,1576.0,1381.0,0.0,2638.8,1052.4,559.8,568.8,609.0,131.0,129.15,112.05,84.125,63.0,1201.8,521.4,338.1,453.3,115.35,604.0,1686.0,948.0,1100.5,33.32,1422.5,284.0,2624,417.75,665.4,63.5,358.5,448.0,144.5,133.25,52.5,37.5,174.5,61.0,342.0,234.5,9.05,4.05,105.5,62.08,251.4,472.0,35.175,72.8125,1.5,67.5,8.2,61.75,165.0,159.0,4.3,5.8,9.3375,35.575,4.025,99.6,1195.6,273.52,1116,270.5,221.75,164.75,59.25,324.5,77.0,478.0,109.25,343.0,179.25,249.76,229.0,402.0,179.36,2369.04,2528.0,611.0,43.3125,96.4375,480.75,27.675,44.55,18.848,82.125,100.8,80.5,945.75,201.5,540.75,566.0,546.75,352.5,434.0,561.9,939.0,899.0,156.5,102.0,182.4,40.625,14.15625,15.8125,87.875,37.14375,33.675,7.875,18.164,568.0,23.08,48.84,13.0625,57.3408,118.8,33.0,52.3,5.76,10.36,611.0,143.5,1426.0,157.25,361.0,525.0,200.75,29.3928,133.75,816.5,406.66,755.0,37.6875,37.875,35.0,203.0,598.5,165.75,716.5,1417.0,714.0,192.6,1650,1696.0,10.425,368.48,877.2,190.8,491.5,397.0,282.5,216.6,27.5625,397.296,533.1,79.5,246.5,52.0,1090.5,284.0,571.5,711.5,9.875,31.5625,54.6,340.0,99.64,137.5,54.75,323.625,950.0,30.75,137.0,9.6,40.32,473.25,36.5,230.25,114.75,14.9625,3.96875,0.2875,0.54375,5.49375,470.8,607.2,193.36,206.0,7.5,256.0,360.25,1295.5,744.5,291.0,417.5,575.5,283.5,820.5,464.0,78.08,160.0,393.6,894.0,735.0,671.44,186.25,153.68,408.0,134.75,247.0,61.0,95.75,759.68,778.25,393.0,2011.0,768.56,1.4625,136.5,129.9375,327.0,672.0,147.0,357.75,257.5,145.8,191.76,305.0,176.64,143.5,73.2,3.0,25.75,13.75,28.225,195.0,2.2875,534.0,1508.0,7.875,5.15,41.5,88.75,79.6875,15.25,57.75,1759.0,764.0,67.0,298.5,429.9,160.5,193.8,214.25,160.5,211.25,222.0,65.025,192.6875,8070,1386.3997782,415.44,42168,2630.0,3094,1282.8,42.0,398072.35180019995
6,1272.0,1794,93.75,88.25,531.0,237.75,339.0,427.5,1833.0,3006,289.5,1165.0,1948.8,3068.4,1906.8,2420.4,539.12,2044.16,443.28,907.0,614.4,3856,215.36,6048,12096,1333.5,191.0,4164.0,2549.0,2204.25,4337.0,3402.0,3.48,5526.0,32928,15904,1844.0,644.0,489.5,3976.0,3440.32,1958.0,2805.0,0.0,4196.4,1684.8,1076.4,1252.2,825.6,143.875,405.45,126.6,111.125,91.4375,1454.4,558.0,480.0,855.9,211.8,627.0,2617.0,1083.0,1397.5,140.92,1829.5,406.75,3342,616.5,807.6,169.0,429.25,567.75,214.5,379.75,92.25,142.75,257.0,207.5,794.4,395.75,56.25,36.325,269.0,199.12,605.4,771.75,41.45,67.8125,3.3125,182.25,108.2,64.3125,459.5,421.5,42.725,26.6,29.875,109.55,16.2375,346.8,1336.72,364.6,1528,339.75,366.5,242.0,132.5,670.5,191.0,678.0,150.75,513.25,246.75,236.0,403.5,838.8,348.08,2361.84,2881.0,1261.0,53.475,164.5,653.5,18.0,44.15,26.5552,68.25,100.64,127.125,1002.0,190.0,586.25,686.0,579.75,411.5,545.0,652.2,951.25,898.5,701.0,167.5,176.64,32.6,14.15625,15.8625,83.775,34.15,33.275,10.375,17.708,662.0,25.52,38.28,12.9875,64.1424,113.64,33.28,54.225,7.84,19.92,952.0,206.5,1451.0,489.0,488.25,1158.0,366.5,75.5184,133.75,1217.75,448.8,980.0,120.6875,45.0625,42.75,302.5,638.0,157.5,1108.0,2975.0,1114.8,289.2,2696,1783.0,19.35,472.0,931.2,415.8,716.5,856.0,446.5,228.9,66.0,653.424,585.6,276.5,367.0,136.0,1204.5,448.0,726.5,1172.0,146.375,235.4375,142.65,527.0,177.6,178.75,250.5,487.5,1215.0,150.0,177.5,47.5875,106.4,567.0,500.25,263.0,160.25,16.1875,7.7875,6.99375,9.1625,5.50625,676.8,1479.6,282.56,390.0,19.7,421.5,363.5,1669.0,754.5,259.5,440.0,586.5,327.6,925.5,492.5,126.24,690.88,711.6,1582.8,1433.0,710.24,215.5,197.84,618.0,175.0,589.0,218.0,104.25,1303.36,1025.5,439.0,2176.0,1035.6,2.8875,137.125,146.5,383.0,1255.0,246.75,407.5,337.25,248.84,446.72,506.5,1315.84,273.5,168.6,3.0,306.5,131.0,60.65,570.0,9.7375,866.4,1888.0,47.375,21.15,270.0,358.5,94.425,61.5,93.0,2790.0,1034.0,158.0,752.0,528.0,190.5,211.8,233.75,236.0,239.375,307.5625,86.3,179.4375,8574,1704.7997272,478.08,43008,3246.0,3996,3054.0,75.0,464078.24692500004
7,1288.0,1896,94.5,98.75,534.0,221.75,365.5,477.0,1840.0,3078,291.0,1106.0,1904.4,3207.6,1912.8,2506.8,584.16,2024.8,434.0,833.0,633.9,3892,426.88,6048,12096,1410.0,209.0,4168.5,2450.0,2118.0,4378.0,3538.0,3.0,5580.0,32032,32256,1895.0,712.75,484.75,3762.0,3492.96,1942.0,2481.0,0.0,4376.4,1690.8,1113.0,1230.6,815.4,145.1875,402.075,133.425,103.1875,87.5,1476.0,562.8,425.1,861.6,265.8,653.0,2753.0,1249.0,1338.0,151.52,1840.5,397.5,3408,588.0,820.8,162.0,418.25,528.0,204.25,357.5,85.5,152.75,273.25,221.5,777.0,375.25,55.5,35.75,256.5,185.96,594.0,799.5,37.5,73.3125,2.9375,181.75,84.8,58.375,480.75,450.5,44.45,27.0,27.3125,115.175,19.50625,349.2,1330.8,372.88,1540,363.75,361.5,270.75,137.25,592.5,180.5,479.0,133.0,503.0,228.75,243.92,347.0,890.4,351.92,2379.36,2724.0,1317.0,40.275,171.8125,637.5,18.6375,45.6,26.7824,89.75,95.24,139.0,1128.75,190.5,566.75,729.75,617.5,456.0,552.0,655.2,1131.0,872.0,718.0,161.75,173.2,28.425,14.15625,16.475,94.95,31.56875,32.9375,11.25,17.882,650.5,25.16,34.2,14.4,68.7696,121.36,38.72,52.375,10.0,42.56,923.0,193.5,1445.0,481.25,472.5,1131.0,356.25,77.0088,139.0,1149.0,462.4,899.0,104.6875,44.25,41.75,314.0,674.0,185.0,1146.0,3016.0,1020.0,283.8,2620,1805.5,24.5,475.28,930.0,411.0,701.0,880.0,449.0,228.0,62.5625,703.488,568.8,249.5,337.5,138.5,1191.5,417.5,713.0,1210.0,113.5625,229.375,142.8,518.0,178.76,188.0,285.0,507.0,1177.0,151.0,190.0,51.0,111.04,562.5,492.5,279.5,140.75,11.725,7.7375,7.075,7.0375,5.50625,685.84,1442.4,387.84,398.0,25.8875,375.5,361.25,1790.5,732.5,298.2,441.0,571.5,342.9,851.75,564.5,143.68,760.48,802.8,1498.8,1436.0,704.08,223.0,212.16,608.5,174.75,632.0,228.0,91.75,1494.24,1031.5,448.25,2266.0,1081.52,3.15,146.25,153.0625,400.0,1337.0,247.25,402.25,321.5,248.48,466.8,489.0,1464.16,285.0,158.7,2.92,180.0,96.0,56.0,560.5,9.75,920.4,1817.0,45.875,30.65,305.0,263.5,82.8375,45.5,94.0,2723.0,1067.5,144.0,804.5,502.2,186.0,229.2,260.5,290.0,285.9375,309.625,88.25,154.5,8686,1505.5997592,480.43199999999996,42000,3289.0,3966,3105.6,61.0,465645.1146814
8,1502.0,1910,92.5,98.5,567.0,222.0,354.0,449.5,1968.0,3148,392.0,1542.0,2766.0,3153.6,1924.8,2485.2,568.16,2052.32,424.48,751.0,637.2,3436,444.96,6272,12992,1393.0,214.0,2898.0,2447.0,2274.0,4370.0,3393.0,3.52,5436.0,17472,33824,1846.0,697.0,486.5,3684.0,3688.48,2014.0,2350.0,2444.0,4276.8,1653.6,1062.0,1116.6,749.4,131.75,358.875,127.8,102.75,106.0,1522.2,538.2,440.1,999.6,263.1,640.5,2877.0,1118.0,1408.0,164.92,1947.0,432.0,3330,672.375,834.6,161.0,449.75,565.75,195.25,397.5,86.25,150.5,238.0,221.5,799.2,381.5,57.3,36.4,281.0,191.6,587.4,821.75,41.7,63.9375,3.125,197.0,107.6,58.875,454.25,483.0,44.7,29.025,28.8875,104.8,15.325,428.4,1379.76,378.0,1572,420.5,366.0,245.0,145.25,616.0,195.5,614.5,185.5,640.0,256.0,251.4,377.0,930.0,356.56,2424.72,2756.0,1331.0,39.6375,169.8125,649.0,19.05,44.825,27.7136,107.1875,108.64,140.25,1257.75,338.5,587.75,866.0,647.25,455.5,612.5,676.5,1108.75,903.0,773.5,176.0,166.64,42.625,19.71875,18.2125,105.4,30.575,31.4875,9.625,49.146,732.5,26.96,52.8,13.05,92.64,125.52,36.76,52.35,18.88,24.96,1911.0,262.0,1488.0,466.75,509.5,1294.0,366.5,74.6976,129.0,1102.25,346.94,983.0,99.9375,43.8125,46.25,344.5,720.0,205.75,1196.5,3039.0,1520.4,292.2,2698,1823.0,22.575,530.64,1202.4,468.0,759.0,867.0,482.5,262.5,57.6875,697.488,564.9,252.0,353.0,140.5,1227.0,423.0,734.0,1237.0,119.0,224.625,157.5,989.0,504.64,188.0,277.75,497.25,1273.0,145.75,195.25,59.175,106.16,510.5,509.5,281.5,146.25,16.1625,14.41875,7.08125,6.98125,5.5875,1080.72,1431.6,364.32,442.0,17.15,391.0,362.25,1624.5,697.5,293.1,429.0,537.0,319.8,959.0,547.5,127.52,711.68,885.6,1491.6,1891.0,695.84,220.25,511.2,662.0,184.25,690.0,236.0,94.5,1327.04,997.5,448.25,2349.0,1037.2,3.675,192.4375,151.375,389.5,1370.0,248.5,430.75,349.25,245.6,495.6,505.0,1678.56,293.0,158.4,2.92,199.0,84.25,62.45,515.0,9.65,865.8,1887.0,42.3125,17.55,357.5,327.5,66.675,59.5,106.0,2641.0,1091.0,140.0,751.0,480.9,175.75,177.9,265.75,284.0,253.75,295.6875,82.425,127.875,8742,1474.399764,469.968,42672,3273.0,4294,3021.6,66.0,470900.5848782
9,1975.0,2306,99.75,103.75,559.5,207.75,366.0,453.0,1940.0,3114,686.0,1937.0,3513.6,3098.4,1923.6,2500.8,597.28,1693.6,424.72,769.0,611.4,3162,444.0,6272,11872,1402.0,219.0,2740.5,2490.0,2206.5,4651.0,3422.0,3.24,6603.0,17024,16576,1747.0,669.75,476.25,3475.0,3623.2,1997.0,1864.0,604.0,4328.4,1648.8,1091.4,1203.0,712.2,136.1875,385.65,126.075,107.4375,97.125,1501.2,582.0,442.8,979.2,280.95,630.5,2641.0,1344.0,1439.0,162.12,1877.5,381.75,3432,630.75,828.0,156.0,455.25,587.25,213.0,367.25,75.5,166.25,267.0,211.75,837.6,385.25,56.45,35.6,269.5,181.64,600.0,804.0,41.025,77.4375,2.75,191.25,118.2,62.0625,412.5,463.0,45.375,28.0125,31.975,107.7,15.2875,367.8,1377.12,392.84,1532,394.5,344.75,259.75,125.75,630.0,201.75,582.5,169.75,718.25,270.5,253.2,365.5,950.4,355.68,2430.24,2835.0,1309.5,40.1,170.4375,656.25,18.15,44.95,25.6488,125.625,104.04,128.8125,1056.0,378.0,662.25,799.0,607.0,473.0,546.5,655.8,1007.5,951.0,646.0,162.5,177.92,31.625,14.1875,16.8125,103.025,32.13125,37.875,10.6875,42.276,688.0,25.56,45.96,22.1625,79.704,124.52,33.2,50.95,7.76,30.36,2064.0,275.0,1546.0,460.5,492.0,1124.0,386.0,69.888,126.25,1118.5,372.0,1057.0,99.625,42.8125,45.75,552.0,717.0,192.5,1149.5,3084.0,2238.0,325.2,2714,1742.0,6.725,485.92,1575.6,467.4,744.0,849.0,491.0,252.6,55.5,756.288,565.2,257.0,340.5,138.0,1193.5,420.0,747.5,1330.5,117.6875,225.0625,154.8,1472.0,534.96,183.5,281.5,515.25,1032.0,156.0,194.0,56.625,101.2,539.0,513.75,284.5,144.5,11.84375,5.76875,7.00625,6.90625,5.55,1460.64,1420.8,374.4,392.0,20.7375,379.5,361.0,1548.0,679.5,283.2,417.0,641.0,325.5,787.0,578.0,141.12,685.44,918.0,1539.6,2292.0,694.8,228.25,885.68,671.0,177.25,737.0,187.0,90.75,1349.28,1012.25,448.5,2324.0,1086.0,8.25,188.0625,151.25,393.5,1327.0,259.0,427.25,343.25,245.28,520.72,521.0,1452.8,285.0,192.6,2.88,196.0,91.5,63.65,502.0,9.25,868.2,1859.0,39.5,18.6,277.0,260.5,89.1,59.0,96.75,2737.0,1065.0,148.0,820.0,454.8,175.5,220.8,261.25,265.75,283.75,310.625,78.175,111.0625,8292,1563.1997498,480.86400000000003,45528,3174.0,4172,2893.2,56.0,490775.4118268
